CLIENTE,CP,SEXO,PLAN,SEM_ATRASO,SALDO,ATRASO,MORAS,P_INICIAL,P_SEMANAL,BONIF_MORAS,PLAZO_DIAS,BONIF_INTERESES,POR_DEVENGAR
1,16090,F,LIQUIDACION,233,6638,6638,6638,3255,0,6638,0,3383,0
2,4650,F,LIQUIDACION,263,13774,13774,12400,4006,407,12400,168,0,0
3,14376,M,REGULARIZACION,8,84527,7196,292,1945,1143,0,231,0,46578
4,4309,M,LIQUIDACION,43,29541,21542,15479,3503,978,15479,168,1313,4849.38
5,14050,F,LIQUIDACION,146,12278,12278,11867,5789,0,11867,0,6489,0
6,14500,F,REGULARIZACION,12,8699,4355,435,1638,788,0,63,0,1733
7,4910,M,LIQUIDACION,386,7889,7889,7889,6030,0,7889,0,1859,0
8,4850,M,LIQUIDACION,306,36693,36693,20846,15311,0,20846,0,21382,0
9,4380,M,LIQUIDACION,217,31590,31590,19708,14449,0,19708,0,17141,0
10,14080,M,LIQUIDACION,316,50780,50780,41701,4625,2271,33361,168,0,0
11,4910,F,LIQUIDACION,365,15015,15015,11204,1495,260,11204,364,0,0
12,4910,M,LIQUIDACION,14,9166,4548,613,975,967,159,56,0,2096
13,4650,M,LIQUIDACION,250,1530,1530,1530,498,86,1530,84,0,0
14,12900,F,REGULARIZACION,10,11562,2190,168,459,389,0,84,0,5720
15,1001,M,LIQUIDACION,295,14767,14767,13143,5015,0,13143,0,9752,0
16,14030,M,NI,332,3086,3086,18698,3458,0,18325,0,,
16,14030,M,NI,332,3086,3086,18738,3460,0,18364,0,,
17,4650,M,LIQUIDACION,21,8023,5413,6923,5074,0,6923,0,1579,1521.7
18,14030,M,REGULARIZACION,10,54102,6069,246,1599,1500,0,42,0,26362
19,4620,M,LIQUIDACION,32,9408,8089,629,6127,0,629,0,2729,685.21
20,14376,M,LIQUIDACION,41,12295,12295,9932,7483,0,9932,0,4812,0
20,14376,M,LIQUIDACION,42,12295,12295,9932,7483,0,9932,0,4812,0
20,14376,M,LIQUIDACION,44,12295,12295,9932,2136,602,7449,147,0,0
20,14376,M,LIQUIDACION,43,12295,12295,9932,7827,0,9932,0,4468,0
21,14050,F,REGULARIZACION,9,13408,2670,179,632,509,0,84,0,6023
22,16029,M,LIQUIDACION,217,15899,15899,15899,8589,0,15899,0,7310,0
23,14040,M,REESTRUCTURA,23,7708,6765,1931,3015,184,0,252,0,
24,14040,F,REGULARIZACION,4,22034,1400,141,703,482,0,63,0,12176
25,14040,M,LIQUIDACION,19,1688,1525,60,604,143,0,56,0,73
26,4600,M,LIQUIDACION,21,5816,2426,94,498,495,0,56,0,2075
27,14030,M,REESTRUCTURA,24,14012,8386,3120,3490,252,0,378,0,
28,14370,M,LIQUIDACION,42,10031,7202,5153,2002,509,5153,84,1273,1659.81
29,16450,F,REGULARIZACION,13,9265,2265,403,533,329,0,105,0,4280
30,16030,F,LIQUIDACION,29,7659,4976,2774,1005,415,2774,84,530,1609.87
30,16030,F,LIQUIDACION,41,11207,8380,4843,5794,474,3391,84,0,1696
30,16030,F,LIQUIDACION,28,7659,4904,2774,1499,371,2774,84,521,1653.08
31,14420,F,LIQUIDACION,41,14170,11877,6070,2000,326,4249,301,0,911
32,2910,F,REESTRUCTURA,15,20319,5365,1351,1084,258,459,546,0,
33,2450,M,REGULARIZACION,11,12147,3463,141,674,606,0,84,0,5211
34,2020,F,LIQUIDACION,81,4655,4655,6910,3673,0,6910,0,982,0
35,2710,M,LIQUIDACION,64,20347,18610,8630,2506,419,8630,294,0,1040.58
36,2240,F,LIQUIDACION,55,20476,10924,2125,2799,461,404,280,0,5764
37,53320,F,REGULARIZACION,10,11856,4811,655,1058,922,0,84,0,3975
38,2240,M,LIQUIDACION,258,14037,14037,6858,1395,301,6858,294,0,0
39,2040,F,LIQUIDACION,287,7976,7976,3740,776,150,3740,336,0,0
40,56600,F,REGULARIZACION,11,14539,3340,822,1207,517,0,105,0,6734
41,9780,F,REESTRUCTURA,25,21980,10217,250,1202,348,135,420,0,
42,2950,M,LIQUIDACION,13,2023,1987,319,497,441,82,28,0,17
43,54170,M,LIQUIDACION,13,4304,3367,363,1514,383,90,56,0,512
44,2750,F,LIQUIDACION,69,22003,17739,7053,11146,0,7053,0,8469,2543.64
45,54170,M,LIQUIDACION,64,6125,6125,6092,6125,0,6092,0,0,0
46,89641,M,REGULARIZACION,9,17221,4340,291,1020,755,0,84,0,7643
47,89645,M,LIQUIDACION,133,45222,45222,23750,4506,783,23750,364,0,0
48,89637,M,LIQUIDACION,282,6848,6848,6848,2578,0,6848,0,4270,0
49,89604,M,LIQUIDACION,55,47268,20772,11550,4054,705,11550,364,0,15929.84
50,89610,M,REGULARIZACION,7,33791,3321,135,1001,770,0,63,0,18126
